archive_path,source_path,category,width_px,height_px,mode,size_bytes,sha256
05_Composite_Sheets_Alternates_and_Contact_Sheets/Athena-Storyboards-31-to-40-Contact-Sheet.png,Athena-Storyboards-31-to-40-Contact-Sheet.png,Composite / alternate / contact sheet,1536,2160,RGB,2001965,dbdb1bbc5833fc6c733b7be2534470bf9a6ae322cff7ca2c723e9a8bd0744bbf
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_high_detail_infographic_poster_cheat_sheet_sty.png,a_high_detail_infographic_poster_cheat_sheet_sty.png,Composite / alternate / contact sheet,1536,1024,RGB,2130812,3f32163ea701d029e177b11a072ac4f0ebbfe7541db389e1d3413131c607ea22
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_highly_detailed_infographic_storyboard_poster.png,a_highly_detailed_infographic_storyboard_poster.png,Composite / alternate / contact sheet,1536,1024,RGB,2316800,b625b342d2bd400d67c1498f1b0d0bcaa26f67cf7aeacec59971e4ce599552ea
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_large_composite_infographic_grid_image_like_a_s.png,a_large_composite_infographic_grid_image_like_a_s.png,Composite / alternate / contact sheet,1536,1024,RGB,2295179,75afd7a16fbda2ad9d9e12dd931dfe39e7e35795c330e26d9a2b83074fa20434
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_large_composite_infographic_poster_image_with_te.png,a_large_composite_infographic_poster_image_with_te.png,Composite / alternate / contact sheet,1536,1024,RGB,2052404,bd37d2bd0cc7ecf7827990d181da6ffda71a874c057f961b4b5f1ed66e2282d4
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_top_down_description_a_single_image_collage_i.png,a_top_down_description_a_single_image_collage_i.png,Composite / alternate / contact sheet,1536,1024,RGB,2314949,7af5bb1964f37fcd2b460f4273612a452c0a88d1ae7e8617f012b77e16a07d6e
05_Composite_Sheets_Alternates_and_Contact_Sheets/a_wide_image_collage_infographic_sheet_with_10_h.png,a_wide_image_collage_infographic_sheet_with_10_h.png,Composite / alternate / contact sheet,1536,1024,RGB,2260659,9abd7d6bbc4f138da3722b9f5af39db5c4cfcd717f67a8242db7ee905175713a
01_Core_Storyboards_and_Infographics/athena_cognitive_architecture_diagram.png,athena_cognitive_architecture_diagram.png,Core / early individual infographic,1672,941,RGB,1801838,0e9c6f3fa0f471cc3246f6df50cc03a162725f9de7dfc1ed26b72041b144a55e
01_Core_Storyboards_and_Infographics/athena_distributed_compute_system_infographic.png,athena_distributed_compute_system_infographic.png,Core / early individual infographic,1672,941,RGB,1986526,7dd73b7872f770cc16919d55dab021a8fdeaab2e2a555436ad0887b2e7cc2100
01_Core_Storyboards_and_Infographics/athena_institutional_training_framework.png,athena_institutional_training_framework.png,Core / early individual infographic,1491,1055,RGB,1998371,7e64772109d228a0d200ca50360f24d22860c380d7cab54e15e47e88a66ea2d8
01_Core_Storyboards_and_Infographics/athena_memory_architecture_and_design.png,athena_memory_architecture_and_design.png,Core / early individual infographic,1672,941,RGB,1911169,2c225a2d9052d1f030956caead0b8ef5334c02765f5e07f6c2aea7e3d6b9aaf6
01_Core_Storyboards_and_Infographics/athena_model_registry_and_routing_flow.png,athena_model_registry_and_routing_flow.png,Core / early individual infographic,1491,1055,RGB,2093633,43a2f955a39f865e35fe37e9d23116b09a22e233fd524216224b3fe3a23d1b6b
01_Core_Storyboards_and_Infographics/athena_operational_heartbeat_diagram.png,athena_operational_heartbeat_diagram.png,Core / early individual infographic,1491,1055,RGB,1995328,4b8fc7c2a2f81e73a78cb982e0c115d46f5aec67a212716857d11c9fd534560b
01_Core_Storyboards_and_Infographics/athena_sensory_system_overview.png,athena_sensory_system_overview.png,Core / early individual infographic,1491,1055,RGB,1840651,5a4e8e3a56b95086e6700484fd309174ed37e909adcd673cc5db0503360787d5
02_Storyboards_11_to_20/11-athena-decision-and-reasoning-engine.png,athena_storyboards_11_to_20/11-athena-decision-and-reasoning-engine.png,Storyboards 11–20,921,1536,RGB,1234570,e09a9a32ecb36d2c5a0e0fe5b7d299f6685f28a0ae4383c8cfbdff1e0f7c06f9
02_Storyboards_11_to_20/12-athena-tool-and-ability-ecosystem.png,athena_storyboards_11_to_20/12-athena-tool-and-ability-ecosystem.png,Storyboards 11–20,921,1536,RGB,1030897,7c04e83000c7af96fd7d5ec5dd31bef9cc45b5c7ddbdb7da2e220435296691dc
02_Storyboards_11_to_20/13-athena-evidence-and-truth-system.png,athena_storyboards_11_to_20/13-athena-evidence-and-truth-system.png,Storyboards 11–20,924,1536,RGB,1067667,a7af24badb5367e14afc7f29b171aebb93002c7ec48ff327e47d20ce04f6dd6a
02_Storyboards_11_to_20/14-athena-workspaces-and-project-brains.png,athena_storyboards_11_to_20/14-athena-workspaces-and-project-brains.png,Storyboards 11–20,921,1536,RGB,968280,4055503a69caa107be46de2205c7bea23d9c52032d372d0e90043edc76f18ff0
02_Storyboards_11_to_20/15-athena-communication-and-collaboration.png,athena_storyboards_11_to_20/15-athena-communication-and-collaboration.png,Storyboards 11–20,921,1536,RGB,949614,860df73e775be67ce2ea17d4fe5033fd99278b73529e280d4dd1621a239b7ce2
02_Storyboards_11_to_20/16-athena-security-permissions-and-safety.png,athena_storyboards_11_to_20/16-athena-security-permissions-and-safety.png,Storyboards 11–20,921,1536,RGB,1182130,677681ba3f8da6521ad3b75b570d4b25b90b23dc763810c63123a8bb3de00dab
02_Storyboards_11_to_20/17-athena-learning-and-evolution-system.png,athena_storyboards_11_to_20/17-athena-learning-and-evolution-system.png,Storyboards 11–20,921,1536,RGB,1065832,2d0b7a69e82d85e4e10a39ecca008f49ffe9bce5dffdf3a774651bc4b3fc818d
02_Storyboards_11_to_20/18-athena-recovery-and-resilience.png,athena_storyboards_11_to_20/18-athena-recovery-and-resilience.png,Storyboards 11–20,924,1536,RGB,1009010,b29461bce65ccaab1d0f33fa09bac18f47a874ecd5a1143d5399864b8777ed8b
02_Storyboards_11_to_20/19-athena-governance-and-constitution.png,athena_storyboards_11_to_20/19-athena-governance-and-constitution.png,Storyboards 11–20,921,1536,RGB,1158574,86378ce48741217457ca53d63f0df339a70197ddd5f0e82d26c195788827ae68
02_Storyboards_11_to_20/20-athena-future-vision-and-roadmap.png,athena_storyboards_11_to_20/20-athena-future-vision-and-roadmap.png,Storyboards 11–20,921,1536,RGB,1081218,1a0458f5c78615a7c6df49d98065e22499bc416408da0ce93e0bd11a6ff34bbc
03_Storyboards_21_to_30/21-oasis-and-local-athena-adapters.png,athena_storyboards_21_to_30/21-oasis-and-local-athena-adapters.png,Storyboards 21–30,921,1536,RGB,1258895,f06c90400d85aeed24e1684c574eff49423ffb01617933539d8d6c1c66801376
03_Storyboards_21_to_30/22-athena-integration-contract.png,athena_storyboards_21_to_30/22-athena-integration-contract.png,Storyboards 21–30,921,1536,RGB,1246350,c8c864a313b1c7b36198008c05073e956fcd58f23edae78892fb4dc9faa8f6be
03_Storyboards_21_to_30/23-repository-as-athena-database.png,athena_storyboards_21_to_30/23-repository-as-athena-database.png,Storyboards 21–30,924,1536,RGB,1224712,9eab3e63e8eb3f55005ba9f2fe0c2e0e35dae0fd2158c838a717a9f3424f50bf
03_Storyboards_21_to_30/24-athena-navigation-and-situational-map.png,athena_storyboards_21_to_30/24-athena-navigation-and-situational-map.png,Storyboards 21–30,921,1536,RGB,1189712,f95744aa7d0e8b58b3639a7bb11f8016204ece3294a95b0124802e9d1ff206dd
03_Storyboards_21_to_30/25-agent-object-model-and-lifecycle.png,athena_storyboards_21_to_30/25-agent-object-model-and-lifecycle.png,Storyboards 21–30,921,1536,RGB,995715,44bdc1145a0ba175cb3c87f20099bdac5ddd4617ee87e20e929516167393d681
03_Storyboards_21_to_30/26-athena-deterministic-operation-engine.png,athena_storyboards_21_to_30/26-athena-deterministic-operation-engine.png,Storyboards 21–30,921,1536,RGB,1022767,32c16e3c34bdc159dc407b89c56dc2f285acf8b7c0b9c67a6c999eaa45e35e7d
03_Storyboards_21_to_30/27-audit-flight-recorder-and-causality-ledger.png,athena_storyboards_21_to_30/27-audit-flight-recorder-and-causality-ledger.png,Storyboards 21–30,921,1536,RGB,853406,91606c6cba37b8767987894661b3f089aadb3c1e93081ae8e46d9f9a26b23cad
03_Storyboards_21_to_30/28-observability-diagnostics-and-drift-repair.png,athena_storyboards_21_to_30/28-observability-diagnostics-and-drift-repair.png,Storyboards 21–30,924,1536,RGB,888747,4097be2b6c261ccd1d0623dcd215bee120bebe6e58f626f66f78302d4d1d7c12
03_Storyboards_21_to_30/29-work-change-control-and-resource-stewardship.png,athena_storyboards_21_to_30/29-work-change-control-and-resource-stewardship.png,Storyboards 21–30,921,1536,RGB,875335,da39bf96a279c2640df67ca00408431a520ebe7235c7fffbf4ef7ac0378d34d6
03_Storyboards_21_to_30/30-model-archaeology-and-reverse-engineering-lab.png,athena_storyboards_21_to_30/30-model-archaeology-and-reverse-engineering-lab.png,Storyboards 21–30,921,1536,RGB,938507,bca6763f9f68aa2f54ad45bb3025c6166a6dead3ac30754053f2d81ea3513b05
04_Storyboards_31_to_40/31-athena-cognitive-workflow-and-epistemic-output-labels.png,athena_storyboards_31_to_40/31-athena-cognitive-workflow-and-epistemic-output-labels.png,Storyboards 31–40,1920,1080,RGB,203732,8a6ea4acb2ca48159ade96d624e34c5f2b186b88a5d912c2bad4a5527c39298a
04_Storyboards_31_to_40/32-subtext-detection-and-contextual-anchoring.png,athena_storyboards_31_to_40/32-subtext-detection-and-contextual-anchoring.png,Storyboards 31–40,1920,1080,RGB,191366,179d4bc7a73f2ad8541e1270834a1d646a3d1e5a902a54c1bb7226993d365711
04_Storyboards_31_to_40/33-correlation-and-hypergraph-relational-processing.png,athena_storyboards_31_to_40/33-correlation-and-hypergraph-relational-processing.png,Storyboards 31–40,1920,1080,RGB,191126,e7d5c13627b37fb74e2a5e72a5539ffc03fdd288df6f83c96e31f7effba4eed9
04_Storyboards_31_to_40/34-algorithmic-inversion-and-retrocausal-reconstruction.png,athena_storyboards_31_to_40/34-algorithmic-inversion-and-retrocausal-reconstruction.png,Storyboards 31–40,1920,1080,RGB,193739,236656414149551465d43b490fed2db6a27d97eeec52f18569db91d585dbced7
04_Storyboards_31_to_40/35-conceptual-leaps-and-counter-intuitive-discernment.png,athena_storyboards_31_to_40/35-conceptual-leaps-and-counter-intuitive-discernment.png,Storyboards 31–40,1920,1080,RGB,193896,0b08fd18ad2aa0c7237189b562998eb4d33d6409827787f6ad7a6124f5d3827b
04_Storyboards_31_to_40/36-socratic-deconstruction-and-non-linear-disruption.png,athena_storyboards_31_to_40/36-socratic-deconstruction-and-non-linear-disruption.png,Storyboards 31–40,1920,1080,RGB,194510,f6ed0e5aad9f25f2329d1eae4b7ba36c421bd3fc0f1f3e496c80450add0394fc
04_Storyboards_31_to_40/37-multi-valued-fuzzy-logic-and-superposition-reasoning.png,athena_storyboards_31_to_40/37-multi-valued-fuzzy-logic-and-superposition-reasoning.png,Storyboards 31–40,1920,1080,RGB,199910,6adc6d6498324853ffecf1c15e44fba5c8f88eb9971596cd5673844f1c0e5c03
04_Storyboards_31_to_40/38-non-monotonic-reasoning-and-semantic-drift-self-correction.png,athena_storyboards_31_to_40/38-non-monotonic-reasoning-and-semantic-drift-self-correction.png,Storyboards 31–40,1920,1080,RGB,204496,fb715891c7c4c6c3b06fefbea23a306d024c389609016821aeee19df900a01a2
04_Storyboards_31_to_40/39-semantic-compression-and-liquid-state-context.png,athena_storyboards_31_to_40/39-semantic-compression-and-liquid-state-context.png,Storyboards 31–40,1920,1080,RGB,201909,262e028fa88fcef6a3b241bb1d38d485748552c194568900add540517c82eb70
04_Storyboards_31_to_40/40-original-creation-self-generated-paradigms-and-process-plasticity.png,athena_storyboards_31_to_40/40-original-creation-self-generated-paradigms-and-process-plasticity.png,Storyboards 31–40,1920,1080,RGB,207939,1d0143200ec12cea4a3c35e658fcbbaf6c5f0af63e1b77c6581bb4a5eedbbd53
01_Core_Storyboards_and_Infographics/athena_task_flow_infographic.png,athena_task_flow_infographic.png,Core / early individual infographic,1672,941,RGB,1813468,8fa01c6b0f1f36a9eba3660be2729101e3548594521541a1d3eec2e89ab35d1b
01_Core_Storyboards_and_Infographics/athena_the_cognitive_prosthetic_system.png,athena_the_cognitive_prosthetic_system.png,Core / early individual infographic,1672,941,RGB,1729973,7b754d3dfa83ac7a4c2755dc97d35b5f28f71b80deceac44103c983a8363b210
